vehicle_id,tracker_id,entry_time
1,7,2025-10-16 15:22:52
2,18,2025-10-16 15:22:56
6,119,2025-10-16 15:23:13
7,137,2025-10-16 15:23:20
8,164,2025-10-16 15:23:33
9,170,2025-10-16 15:23:36
10,190,2025-10-16 15:23:39
13,226,2025-10-16 15:23:50
14,254,2025-10-16 15:24:04
15,275,2025-10-16 15:24:08
16,315,2025-10-16 15:24:23
18,344,2025-10-16 15:24:32
19,374,2025-10-16 15:24:38
20,384,2025-10-16 15:24:41
21,423,2025-10-16 15:25:22
23,477,2025-10-16 15:25:29
24,474,2025-10-16 15:25:43
25,498,2025-10-16 15:25:46
26,511,2025-10-16 15:25:56
27,512,2025-10-16 15:25:59
28,534,2025-10-16 15:26:01
30,558,2025-10-16 15:26:14
32,578,2025-10-16 15:26:17
33,605,2025-10-16 15:26:23
34,611,2025-10-16 15:26:27
37,693,2025-10-16 15:26:58
39,718,2025-10-16 15:26:59
40,717,2025-10-16 15:27:11
41,764,2025-10-16 15:27:24
42,788,2025-10-16 15:27:29
44,857,2025-10-16 15:27:47
45,876,2025-10-16 15:27:54
46,880,2025-10-16 15:27:57
47,887,2025-10-16 15:27:59
49,920,2025-10-16 15:28:12
50,970,2025-10-16 15:28:16
51,957,2025-10-16 15:28:16
53,1034,2025-10-16 15:28:38
54,1043,2025-10-16 15:28:39
55,1069,2025-10-16 15:28:39
56,1118,2025-10-16 15:28:52
57,1155,2025-10-16 15:29:02
58,1191,2025-10-16 15:29:14
59,1242,2025-10-16 15:29:16
60,1261,2025-10-16 15:29:23
61,1301,2025-10-16 15:29:31
63,1368,2025-10-16 15:29:39
64,1425,2025-10-16 15:29:52
66,1439,2025-10-16 15:29:59
69,1450,2025-10-16 15:30:04
70,1476,2025-10-16 15:30:07
72,1514,2025-10-16 15:30:15
73,1542,2025-10-16 15:30:21
74,1569,2025-10-16 15:30:29
75,1587,2025-10-16 15:30:31
78,1622,2025-10-16 15:30:31
80,1682,2025-10-16 15:30:49
81,1704,2025-10-16 15:30:53
83,1711,2025-10-16 15:30:59
87,1815,2025-10-16 15:31:19
91,1924,2025-10-16 15:31:40
92,1946,2025-10-16 15:31:48
93,1988,2025-10-16 15:31:55
95,1995,2025-10-16 15:32:01
96,2008,2025-10-16 15:32:03
97,2041,2025-10-16 15:32:06
99,2047,2025-10-16 15:32:10
101,2084,2025-10-16 15:32:15
103,2146,2025-10-16 15:32:25
104,2119,2025-10-16 15:32:28
